Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C71088	C120522		Holter ECG Results	T WAVES FLAT	T waves flat	An electrocardiographic finding in which the T wave appears decreased in amplitude. (NCI)	T Waves Flat by ECG Finding
C111121	C120522		Holter ECG Results	TACHYCARDIA	Tachycardia	An electrocardiographic finding of abnormally rapid heart rate. Thresholds for different age, gender, and patient populations exist.	Tachycardia by ECG Finding
C50779	C120522		Holter ECG Results	TORSADES DE POINTES	Torsades de pointes; Ventricular tachycardia, torsades de pointes	An electrocardiographic finding of an atypical rapid polymorphic ventricular tachycardia with a characteristic rotation of the QRS complex around the isoelectric baseline, occurring in the setting of a prolonged QT interval. In addition, the QRS complex displays a periodic waxing and waning of amplitude on the electrogram.	Torsades De Pointes by ECG Finding
C106579	C120522		Holter ECG Results	U WAVE ABNORMALITY	Abnormal U Wave	An electrocardiographic finding of U waves which have increased amplitude, are inverted, or merged with the preceding T wave.	U Wave Abnormality by ECG Finding
C116131	C120522		Holter ECG Results	UNDETERMINED RHYTHM		An electrocardiographic finding of a cardiac rhythm whose mechanism cannot be determined from the ECG.	Undetermined Rhythm by ECG Finding
C120607	C120522		Holter ECG Results	UNDETERMINED SUPRAVENTRICULAR RHYTHM		An electrocardiographic finding of a rhythm which does not originate in the ventricles or His Purkinje system, but whose specific electrophysiologic mechanism cannot be determined from the ECG. The QRS complexes are typically narrow, but aberration or preexcitation may be present.	Undetermined Supraventricular Rhythm by ECG Finding
C71054	C120522		Holter ECG Results	VENTRICULAR BIGEMINY	Bigeminy	An electrocardiographic finding of a normal QRS complex followed by a premature ventricular complex for 3 or more consecutive cycles; a regularly irregular rhythm of normal and abnormal QRS complexes in a 1-1 ratio.	Ventricular Bigeminy by ECG Finding
C62259	C120522		Holter ECG Results	VENTRICULAR COUPLET	Ventricular Pair; Ventricular couplet	An electrocardiographic finding in which two premature ventricular complexes occur sequentially.	Ventricular Couplet by ECG Finding
C90483	C120522		Holter ECG Results	VENTRICULAR ESCAPE BEAT	Ventricular Escape Beat; Ventricular escape complex(es)	An electrocardiographic finding of a compensatory ventricular complex that occurs following a prolonged RR interval.	Ventricular Escape Beat by ECG Finding
C111102	C120522		Holter ECG Results	VENTRICULAR FIBRILLATION	Ventricular fibrillation	An electrocardiographic finding of a rapid grossly irregular ventricular rhythm with marked variability in QRS cycle length, morphology, and amplitude. The rate is typically greater than 300 bpm.	Ventricular Fibrillation by ECG Finding
C111115	C120522		Holter ECG Results	VENTRICULAR FLUTTER	Ventricular flutter	A ventricular tachyarrhythmia characterized by a high ventricular rate (180 to 250 beats per minute) with a regular rhythm. The electrocardiogram shows large oscillating sine wave-like complexes occurring as a result of QRS complexes and T waves being merged. The P wave is not visible. (NCI)	Ventricular Flutter by ECG Finding
C102728	C120522		Holter ECG Results	VENTRICULAR PARASYSTOLE	Parasystole; Ventricular Parasystole	An electrocardiographic finding of normal sinus rhythm coexisting with a regular ectopic ventricular rhythm.	Ventricular Parasystole by ECG Finding
C120620	C120522		Holter ECG Results	VENTRICULAR QUADRIGEMINY		An electrocardiographic finding of three normal QRS complexes followed by a premature ventricular complex for three or more consecutive cycles; a regularly irregular rhythm of normal and abnormal QRS complexes in a 3-1 ratio.	Ventricular Quadrigeminy by ECG Finding
C120621	C120522		Holter ECG Results	VENTRICULAR RUN		An electrocardiographic finding of three or more consecutive beats of ventricular origin without reference to rate.	Ventricular Run by ECG Finding
C111103	C120522		Holter ECG Results	VENTRICULAR TACHYCARDIA	Ventricular tachycardia	An electrocardiographic finding of three or more consecutive complexes of ventricular organ with a rate greater than a certain threshold (100 or 120 beats per minute are commonly used). The QRS complexes are wide and have an abnormal morphology.	Ventricular Tachycardia by ECG Finding
C62234	C120522		Holter ECG Results	VENTRICULAR TACHYCARDIA, MONOMORPHIC	Ventricular tachycardia, monomorphic	An electrocardiographic finding of a ventricular tachycardia in which the QRS complexes have a uniform morphology.	Monomorphic Ventricular Tachycardia by ECG Finding
C62236	C120522		Holter ECG Results	VENTRICULAR TACHYCARDIA, POLYMORPHIC	Ventricular tachycardia, polymorphic; Ventricular tachycardia, polymorphous	An electrocardiographic finding of a ventricular tachycardia in which the QRS complexes have a variable morphology and often rate.	Polymorphic Ventricular Tachycardia by ECG Finding
C71055	C120522		Holter ECG Results	VENTRICULAR TRIGEMINY	Trigeminy	An electrocardiographic finding of two normal QRS complexes followed by a premature ventricular complex for 3 or more consecutive cycles; a regularly irregular rhythm of normal and abnormal QRS complexes in a 2-1 ratio.	Ventricular Trigeminy by ECG Finding
C62240	C120522		Holter ECG Results	WANDERING ATRIAL PACEMAKER	Wandering atrial pacemaker	An electrocardiographic finding of a supraventricular arrhythmia characterized by 3 or more distinct P wave morphologies with an isoelectric baseline, variable PR intervals and no predominant atrial rhythm. The ventricular rate is typically below 100 beats per minute.	Wandering Atrial Pacemaker by ECG Finding
C71090	C120522		Holter ECG Results	WIDE QRS TACHYCARDIA	Wide QRS tachycardia; Wide-QRS tachycardia	An electrocardiographic finding of three or more consecutive wide QRS complexes of uncertain origin with a rate greater than a certain threshold (100 or 120 beats per minute are commonly used).	Wide QRS Tachycardia by ECG Finding
C35132	C120522		Holter ECG Results	WOLFF-PARKINSON-WHITE SYNDROME	WPW; Wolff-Parkinson-White syndrome	An electrocardiographic finding of ventricular pre-excitation. The syndrome is characterized by a short PR interval and a long QRS interval with a delta wave.	Wolff-Parkinson-White Syndrome
C120523		Yes	Holter ECG Test Code	HETESTCD	Holter ECG Test Code	Terminology relevant to the test codes that describe Holter ECG interpretative findings.	CDISC SDTM Holter ECG Test Code Terminology
C111131	C120523		Holter ECG Test Code	AVCOND	Atrioventricular Conduction	An electrocardiographic assessment of cardiac atrioventricular conduction.	Atrioventricular Conduction ECG Assessment
C111132	C120523		Holter ECG Test Code	AXISVOLT	Axis and Voltage	An electrocardiographic assessment of mean cardiac electrical vector and the ECG voltage.	Axis and Voltage ECG Assessment
C111155	C120523		Holter ECG Test Code	CHYPTENL	Chamber Hypertrophy or Enlargement	An electrocardiographic assessment of chamber hypertrophy or enlargement.	Chamber Hypertrophy or Enlargement ECG Assessment
C117761	C120523		Holter ECG Test Code	EGCOMP	Comparison to a Prior ECG	A comparative interpretation of an ECG relative to a previous (comparator) ECG. The definition of the comparator ECG may be specified elsewhere. Common comparator result values include improved, no change, deteriorated.	Comparison to a Prior ECG
C41255	C120523		Holter ECG Test Code	INTP	Interpretation	An act or process of elucidation; explication, or explanation of the meaning of the event or thing via the assignment of objects from the domain to the constants of a formal language, truth-values to the proposition symbols, truth-functions to the connectives, other functions to the function symbols, and extensions to the predicates, if any. The assignments are result of human logic application and are not native to the symbols of the formal language.	Interpretation
C111238	C120523		Holter ECG Test Code	IVTIACD	Intraventricular-Intraatrial Conduction	An electrocardiographic assessment of intraventricular and intra-atrial conduction.	Intraventricular and Intraatrial Conduction ECG Assessment
C111280	C120523		Holter ECG Test Code	MI	Myocardial Infarction	An electrocardiographic assessment of findings suggestive of myocardial infarction.	Myocardial Infarction ECG Assessment
C111285	C120523		Holter ECG Test Code	PACEMAKR	Pacemaker	An electrocardiographic assessment of presence of artificial electronic pacing.	Pacemaker ECG Assessment
C111307	C120523		Holter ECG Test Code	RHYNOS	Rhythm Not Otherwise Specified	An electrocardiographic assessment of cardiac rhythm not otherwise specified.	Rhythm Not Otherwise Specified ECG Assessment
C111312	C120523		Holter ECG Test Code	SNRARRY	Sinus Node Rhythms and Arrhythmias	An electrocardiographic assessment of sinus node rhythms and arrhythmias.	Sinus Node Rhythm and Arrhythmia ECG Assessment
C111320	C120523		Holter ECG Test Code	SPRARRY	Supraventricular Arrhythmias	An electrocardiographic assessment of supraventricular arrhythmias excluding tachycardias.	Supraventricular Arrhythmia ECG Assessment
C111321	C120523		Holter ECG Test Code	SPRTARRY	Supraventricular Tachyarrhythmias	An electrocardiographic assessment of supraventricular tachyarrhythmias.	Supraventricular Tachyarrhythmia ECG Assessment
C111363	C120523		Holter ECG Test Code	STSTWUW	ST Segment, T wave, and U wave	An electrocardiographic assessment of the characteristics of the ST segment, T wave, and U wave.	ST Segment, T wave, and U wave ECG Assessment
C117807	C120523		Holter ECG Test Code	TECHQUAL	Technical Quality	A statement about an electrocardiographic recording describing technical issues or interference during the recording, processing, or transmission of the data. This does not represent an electrocardiographic diagnosis.	ECG Technical Quality
C111330	C120523		Holter ECG Test Code	VTARRY	Ventricular Arrhythmias	An electrocardiographic assessment of ventricular arrhythmias excluding tachycardias.	Ventricular Arrhythmia ECG Assessment
C111331	C120523		Holter ECG Test Code	VTTARRY	Ventricular Tachyarrhythmias	An electrocardiographic assessment of supraventricular tachyarrhythmias.	Ventricular Tachyarrhythmia ECG Assessment
C120524		Yes	Holter ECG Test Name	HETEST	Holter ECG Test Name	Terminology relevant to the test names that describe Holter ECG interpretative findings.	CDISC SDTM Holter ECG Test Name Terminology
C111131	C120524		Holter ECG Test Name	Atrioventricular Conduction	Atrioventricular Conduction	An electrocardiographic assessment of cardiac atrioventricular conduction.	Atrioventricular Conduction ECG Assessment
C111132	C120524		Holter ECG Test Name	Axis and Voltage	Axis and Voltage	An electrocardiographic assessment of mean cardiac electrical vector and the ECG voltage.	Axis and Voltage ECG Assessment
C111155	C120524		Holter ECG Test Name	Chamber Hypertrophy or Enlargement	Chamber Hypertrophy or Enlargement	An electrocardiographic assessment of chamber hypertrophy or enlargement.	Chamber Hypertrophy or Enlargement ECG Assessment
C117761	C120524		Holter ECG Test Name	Comparison to a Prior ECG	Comparison to a Prior ECG	A comparative interpretation of an ECG relative to a previous (comparator) ECG. The definition of the comparator ECG may be specified elsewhere. Common comparator result values include improved, no change, deteriorated.	Comparison to a Prior ECG
C41255	C120524		Holter ECG Test Name	Interpretation	Interpretation	An act or process of elucidation; explication, or explanation of the meaning of the event or thing via the assignment of objects from the domain to the constants of a formal language, truth-values to the proposition symbols, truth-functions to the connectives, other functions to the function symbols, and extensions to the predicates, if any. The assignments are result of human logic application and are not native to the symbols of the formal language.	Interpretation
C111238	C120524		Holter ECG Test Name	Intraventricular-Intraatrial Conduction	Intraventricular-Intraatrial Conduction	An electrocardiographic assessment of intraventricular and intra-atrial conduction.	Intraventricular and Intraatrial Conduction ECG Assessment
